airline_id,airline_name,iata,country_code,is_airline_passenger,total_aircrafts,average_fleet_age,accidents_last_5y,iosa_registered,iosa_expiry
1,Alaska Airlines,AS,US,1.0,158.0,8.1,1.0,1.0,2025-01-16T00:00:00.000Z
2,American Airlines,AA,US,1.0,684.0,10.2,26.0,1.0,2025-07-29T00:00:00.000Z
3,Air Canada,AC,CA,1.0,98.0,11.7,0.0,1.0,2024-04-18T00:00:00.000Z
4,Delta Air Lines,DL,US,1.0,591.0,12.5,22.0,1.0,2024-10-17T00:00:00.000Z
5,Envoy Air,MQ,US,1.0,161.0,9.6,0.0,1.0,2025-11-18T00:00:00.000Z
6,Frontier Airlines,F9,US,1.0,83.0,3.0,4.0,1.0,2024-01-03T00:00:00.000Z
7,GOL Linhas Aereas Inteligentes,G3,BR,1.0,103.0,10.7,0.0,1.0,
8,Jazz Aviation,QK,CA,1.0,85.0,13.8,3.0,1.0,2024-10-21T00:00:00.000Z
9,Lufthansa,LH,DE,1.0,131.0,8.9,1.0,1.0,
10,Porter Airlines Inc,P3,CA,1.0,,,,,
11,Porter Airlines,PD,CA,1.0,1.0,9.0,0.0,0.0,
12,Republic Airline United Express,YX,US,1.0,182.0,10.1,1.0,1.0,2024-12-12T00:00:00.000Z
13,SkyWest Airlines,OO,US,1.0,462.0,10.7,3.0,1.0,2024-09-25T00:00:00.000Z
14,Spirit Airlines,NK,US,1.0,125.0,4.1,4.0,1.0,2025-07-30T00:00:00.000Z
15,United Airlines,UA,US,1.0,502.0,14.1,12.0,1.0,2025-02-26T00:00:00.000Z
16,Westjet,WS,CA,1.0,70.0,9.8,5.0,1.0,2024-11-27T00:00:00.000Z
17,American Eagle,AA,US,1.0,567.0,10.0,1.0,1.0,2024-08-2T00:00:00.000Z
